t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,drag_ski,brakegap,Fload_brakes
0,0,0,0,-0,-0,-0,-0,25,0
0.01,0.000467259297052154,0.0934518594104308,9.34518594104308,-0,-0,-0,-0.0473816573860261,25,-2.52452200732249
0.02,0.00186861763905846,0.18681980899083,9.33679495803995,-4.46844634202234e-08,-0.000296968241787364,-0.000576045329084879,-0.0473639490800419,25,-3.65041881213858
0.03,0.00420324717196268,0.280106097590013,9.32862885991823,-1.78577402124384e-07,-0.000588592390684602,-0.00113439898806305,-0.047346263283582,25,-4.7602577799813
0.04,0.00747034220878275,0.373312909774002,9.32068121839898,-4.01444746912275e-07,-0.000874974966955144,-0.00167561441493631,-0.0473285995506321,25,-5.85094715966132
0.05,0.0116691185971809,0.466442367905619,9.31294581316166,-7.13060978685973e-07,-0.00115621605813861,-0.00220022626043225,-0.0473109574480077,25,-6.92024681922743
0.06,0.0167988131074396,0.559496534146128,9.30541662405093,-1.113208813531e-06,-0.00143241339555469,-0.00270875110665575,-0.0472933365549367,25,-7.96654698185709
0.07,0.0228586828400821,0.652477412382381,9.29808782362529,-1.60167890049149e-06,-0.00170366242771059,-0.00320168815394408,-0.0472757364626563,25,-8.98871207391601
0.08,0.0298480046524075,0.745386950082686,9.29095377003047,-2.17826953146157e-06,-0.00197005639076222,-0.00367951987755895,-0.0472581567740265,25,-9.98596807877024
0.09,0.0377660746032434,0.838227040084492,9.28400900018064,-2.8427863626452e-06,-0.00223168637617112,-0.00414271265575299,-0.0472405971031566,25,-10.9578197118906
0.1,0.0466122074152499,0.930999522316817,9.27724822323244,-3.59504214706505e-06,-0.00248864139569121,-0.00459171737065834,-0.0472230570750466,25,-11.9039885001837
0.11,0.0563857359541349,1.02370618546018,9.27066631433677,-4.4348564776275e-06,-0.00274100844381213,-0.00502696998336131,-0.0472055363252407,25,-12.8243658077145
0.12,0.0670860107241695,1.11634876854673,9.26425830865485,-5.36205554027609e-06,-0.00298887255777906,-0.00544889208444894,-0.0471880344994946,25,-13.7189767377508
0.13,0.0787123993794181,1.20892896250299,9.25801939562543,-6.37647187678921e-06,-0.00323231687530241,-0.00585789142123962,-0.0471705512534536,25,-14.5879520749601
0.14,0.0912642862501215,1.3014484116377,9.25194491347092,-7.47794415680019e-06,-0.00347142269006473,-0.00625436240284166,-0.0471530862523433,25,-15.4315062558483
0.15,0.104741071883695,1.39390871507701,9.24603034393085,-8.66631695863879e-06,-0.00370626950512649,-0.00663868658411936,-0.0471356391706709,25,-16.2499199170688
0.16,0.119142172599826,1.48631142814912,9.24027130721173,-9.94144055861316e-06,-0.00393693508432689,-0.0070112331295858,-0.0471182096919372,25,-17.043525960631
0.17,0.134467020059174,1.57865806372055,9.23466355714298,-1.13031707283697e-05,-0.00416349550177101,-0.00737235925818533,-0.0471007975083589,25,-17.8126983494787
0.18,0.150715060845206,1.67095009348584,9.22920297652916,-1.27513685399862e-05,-0.00438602518948962,-0.00772241066987575,-0.0470834023206003,25,-18.55784304321
0.19,0.167885756058699,1.76318894921274,9.22388557268925,-1.42859001784702e-05,-0.00460459698335371,-0.00806172195487043,-0.047066023837515,25,-19.2793906260255
0.2,0.185978580924485,1.85537602394448,9.21870747317428,-1.59066367613499e-05,-0.00481928216732134,-0.00839061698635428,-0.0470486617758958,25,-19.9777902834815
0.21,0.204993024410013,1.94751267316103,9.21366492165498,-1.76134541650608e-05,-0.00503015051609068,-0.00870940929744331,-0.0470313158602341,25,-20.6535048622122
0.22,0.224928588855321,2.03960021590075,9.20875427397168,-1.94062328578446e-05,-0.00523727033622926,-0.00901840244311684,-0.0470139858224871,25,-21.3070068050311
0.23,0.245784789614046,2.13163993584414,9.20397199433902,-2.12848577388892e-05,-0.0054407085058457,-0.00931789034781244,-0.0469966714018526,25,-21.9387747979755
0.24,0.267561154705072,2.22363308236112,9.19931465169839,-2.32492179834545e-05,-0.00564053051286734,-0.00960815763933748,-0.0469793723445523,25,-22.5492909996395
0.25,0.290257224474494,2.31558087152324,9.19477891621156,-2.5299206893737e-05,-0.00583680049198352,-0.00988947996971702,-0.0469620884036221,25,-23.1390387492147
0.26,0.313872551267521,2.40748448708213,9.19036155588901,-2.74347217552394e-05,-0.00602958126031158,-0.0101621243235655,-0.0469448193387089,25,-23.7085006699396
0.27,0.338406699110009,2.4993450814156,9.1860594333472,-2.96556636984222e-05,-0.00621893435183989,-0.0104263493145395,-0.0469275649158749,25,-24.2581571005598
0.28,0.3638592433993,2.59116377644248,9.18186950268882,-3.19619375654239e-05,-0.00640492005069926,-0.0106824054704002,-0.0469103249074085,25,-24.7884847999515
0.29,0.39022977060405,2.68294166450749,9.17778880650083,-3.43534517816459e-05,-0.00658759742331192,-0.0109305355071871,-0.0468930990916409,25,-25.2999558800359
0.3,0.417517877972773,2.77467980923714,9.17381447296509,-3.68301182320084e-05,-0.0067670243494647,-0.0111709745929805,-0.0468758872527688,25,-25.79303693009
0.31,0.445723173250798,2.86637924636791,9.16994371307671,-3.93918521416907e-05,-0.00694325755235073,-0.0114039506017032,-0.0468586891806838,25,-26.2681883019735
0.32,0.474845274405375,2.95804098454757,9.16617381796544,-4.20385719611798e-05,-0.0071163526276221,-0.0116296843573944,-0.046841504670806,25,-26.7258635309824
0.33,0.504883809358667,3.04966600611072,9.16250215631582,-4.47701992554555e-05,-0.0072863640714937,-0.0118483898693614,-0.0468243335239244,25,-27.1665088712629
0.34,0.535838415728368,3.14125526782954,9.15892617188177,-4.75866585971526e-05,-0.00745334530793655,-0.0120602745586003,-0.0468071755460414,25,-27.5905629281628
0.35,0.567708740575718,3.23280970164046,9.15544338109177,-5.04878774635422e-05,-0.00761734871499739,-0.0122655394758538,-0.0467900305482229,25,-27.9984563727348
0.36,0.60049444016066,3.32433021534787,9.15205137074068,-5.34737861371862e-05,-0.00777842565027917,-0.0124643795116584,-0.0467728983464531,25,-28.3906117259354
0.37,0.634195179703927,3.41581769330551,9.14874779576479,-5.65443176101213e-05,-0.00793662647561588,-0.0126569835987165,-0.0467557787614937,25,-28.7674432020031
0.38,0.668810633155837,3.50727299707648,9.14553037709645,-5.96994074914377e-05,-0.00809200058097333,-0.0128435349069102,-0.046738671618748,25,-29.1293566021017
0.39,0.704340482971581,3.59869696607243,9.14239689959521,-6.29389939181213e-05,-0.00824459640760624,-0.0130242110312635,-0.0467215767481288,25,-29.4767492506591
0.4,0.740784419892808,3.69009041817295,9.13934521005216,-6.62630174690366e-05,-0.00839446147050038,-0.0131991841731386,-0.0467044939839311,25,-29.8100099679567
